feature_id,bedrooms,squareFootage,features,bathrooms,lotSize
104,2,936.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'heating': True, 'heatingType': 'Central', 'roomCount': 4, 'unitCount': 1}",1,5001.0
105,0,1248.0,{'architectureType': 'Mobile Home'},0,43560.0
106,2,1104.0,nan,1,
107,4,3187.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Footing', 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'poolType': 'Pool and Hot Tub / Spa', 'roofType': 'Shingle', 'unitCount': 1}",3,12998.0
108,3,3200.0,nan,3,
109,2,1932.0,"{'exteriorType': 'Stone', 'floorCount': 1}",2,12197.0
110,0,,{},0,43560.0
111,4,3080.0,nan,3,117612.0
112,3,1569.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}",2,6771.0
113,12,2390.0,"{'exteriorType': 'Concrete Block', 'floorCount': 1}",12,4000.0
114,0,1882.0,"{'architectureType': 'Ranch / Rambler', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'unitCount': 1}",3,13068.0
115,4,2645.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Other', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 8, 'unitCount': 1}",2,6839.0
116,5,6642.0,"{'cooling': True, 'coolingType': 'Commercial', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 4, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'pool': True, 'poolType': 'Pool and Hot Tub / Spa', 'roofType': 'Tile', 'unitCount': 1}",6,44431.0
117,0,1340.0,"{'architectureType': 'Townhouse', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",2,1614.0
118,2,784.0,"{'architectureType': 'Bungalow', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'foundationType': 'Concrete Block', 'heating': True, 'heatingType': 'Oil', 'roofType': 'Shingle (Not Wood)', 'roomCount': 5, 'unitCount': 1}",1,14810.0
119,3,1642.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Commercial', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roomCount': 10, 'unitCount': 1}",3,7537.0
120,2,908.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'foundationType': 'Pier / Post & Beam', 'heating': True, 'heatingType': 'Central', 'roofType': 'Shingle', 'roomCount': 8, 'unitCount': 1}",2,
121,3,1117.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick / Stone', 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}",2,7874.0
122,1,600.0,nan,1,
